id,Title,Year,Bond actor,Director,Box office (millions),,,
1,Dr. No,1962,Sean Connery,Terence Young,59.5,,,
2,From Russia with Love,1963,Sean Connery,Terence Young,78.9,,,
3,Goldfinger,1964,Sean Connery,Guy Hamilton,124.9,,,
4,Thunderball,1965,Sean Connery,Terence Young,141.2,,,
5,You Only Live Twice,1967,Sean Connery,Lewis Gilbert,111.6,,,
6,On Her Majesty's Secret Service,1969,George Lazenby,Peter R. Hunt,64.6,,,
7,Diamonds Are Forever,1971,Sean Connery,Guy Hamilton,116,,,
8,Live and Let Die,1973,Roger Moore,Guy Hamilton,126.4,,,
9,The Man with the Golden Gun,1974,Roger Moore,Guy Hamilton,97.6,,,
10,The Spy Who Loved Me,1977,Roger Moore,Lewis Gilbert,185.4,,,
11,Moonraker,1979,Roger Moore,Lewis Gilbert,210.3,,,
12,For Your Eyes Only,1981,Roger Moore,John Glen,194.9,,,
13,Octopussy,1983,Roger Moore,John Glen,183.7,,,
14,Never Say Never Again,1983,Sean Connery,Irvin Kershner,160.0,,,
15,A View to a Kill,1985,Roger Moore,John Glen,152.4,,,
16,The Living Daylights,1987,Timothy Dalton,John Glen,191.2,,,
17,Licence to Kill,1989,Timothy Dalton,John Glen,156.2,,,
18,GoldenEye,1995,Pierce Brosnan,Martin Campbell,352,,,
19,Tomorrow Never Dies,1997,Pierce Brosnan,Roger Spottiswoode,333,,,
20,The World Is Not Enough,1999,Pierce Brosnan,Michael Apted,361.8,,,
21,Die Another Day,2002,Pierce Brosnan,Lee Tamahori,432,,,
22,Casino Royale,2006,Daniel Craig,Martin Campbell,606,,,
23,Quantum of Solace,2008,Daniel Craig,Marc Forster,586.1,,,
24,Skyfall,2012,Daniel Craig,Sam Mendes,1108.6,,,
25,Spectre,2015,Daniel Craig,Sam Mendes,880.7,,,
26,No Time to Die,2021,Daniel Craig,Cary Joji Fukunaga,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
